Information,Description
Ontology array z10,x4.y5 -0.11 
Ontology array z10,x4.y6 -0.032 
Ontology array z10,x4.y7 -0.115 
Ontology array z10,x3.y1 0.101 
Ontology array z10,x3.y2 0.037 
Ontology array z10,x3.y3 0.076 
Ontology array z10,x3.y4 -0.217 
Ontology array z10,x3.y5 0.01 (Z354)
Ontology array z10,x3.y6 0.184 
Ontology array z10,x3.y7 0.255 
Ontology array z10,x2.y1 0.107 
Ontology array z10,x2.y2 0.219 
Ontology array z10,x2.y3 0.31 
Ontology array z10,x2.y4 0.118 
Ontology array z10,x2.y5 0.048 
Ontology array z10,x2.y6 0.176 
Ontology array z10,x2.y7 0.14 
Ontology array z10,x1.y1 0.166 
Ontology array z10,x1.y2 0.247 
Ontology array z10,x1.y3 0.02 
Ontology array z10,x1.y4 0.136 
Ontology array z10,x1.y5 0.396 
Ontology array z10,x1.y6 0.393 
Ontology array z10,x1.y7 0.21 
Ontology array z11,x7.y1 0.011 
Ontology array z11,x7.y2 -0.044 
Ontology array z11,x7.y3 -0.16 
Ontology array z11,x7.y4 -0.087 
Ontology array z11,x7.y5 -0.091 
Ontology array z11,x7.y6 0.035 
Ontology array z11,x7.y7 0.036 
Ontology array z11,x6.y1 0.084 
Ontology array z11,x6.y2 0.269 
Ontology array z11,x6.y3 0.049 
Ontology array z11,x6.y4 0.031 
Ontology array z11,x6.y5 0.044 
Ontology array z11,x6.y6 0.013 
Ontology array z11,x6.y7 0.123 
Ontology array z11,x5.y1 0.018 
Ontology array z11,x5.y2 0.102 
Ontology array z11,x5.y3 -0.093 
Ontology array z11,x5.y4 0.049 
Ontology array z11,x5.y5 0.233 
Ontology array z11,x5.y6 -0.002 
Ontology array z11,x5.y7 0.082 
Ontology array z11,x4.y1 0.058 
Ontology array z11,x4.y2 0.038 
Ontology array z11,x4.y3 0.022 
Ontology array z11,x4.y4 -0.039 (Q501)
Ontology array z11,x4.y5 0.26 
Ontology array z11,x4.y6 0.225 
Ontology array z11,x4.y7 0.069 
Ontology array z11,x3.y1 0.076 
Ontology array z11,x3.y2 0.134 
Ontology array z11,x3.y3 -0.002 
Ontology array z11,x3.y4 0.093 
Ontology array z11,x3.y5 0.124 
Ontology array z11,x3.y6 -0.023 
Ontology array z11,x3.y7 -0.017 
Ontology array z11,x2.y1 -0.032 
Ontology array z11,x2.y2 -0.045 
Ontology array z11,x2.y3 -0.114 
Ontology array z11,x2.y4 -0.282 
Ontology array z11,x2.y5 -0.098 
Ontology array z11,x2.y6 0.184 
Ontology array z11,x2.y7 -0.007 
Ontology array z11,x1.y1 0.166 
Ontology array z11,x1.y2 0.126 
Ontology array z11,x1.y3 0.018 
Ontology array z11,x1.y4 -0.126 
Ontology array z11,x1.y5 -0.294 
Ontology array z11,x1.y6 -0.204 
Ontology array z11,x1.y7 0.05 
Ontology array z12,x7.y1 0.044 
Ontology array z12,x7.y2 0.144 
Ontology array z12,x7.y3 -0.147 
Ontology array z12,x7.y4 0.063 
Ontology array z12,x7.y5 -0.121 
Ontology array z12,x7.y6 -0.055 
Ontology array z12,x7.y7 -0.127 
Ontology array z12,x6.y1 -0.114 
Ontology array z12,x6.y2 0.085 
Ontology array z12,x6.y3 0.218 
Ontology array z12,x6.y4 -0.082 
Ontology array z12,x6.y5 0.212 
Ontology array z12,x6.y6 -0.132 
Ontology array z12,x6.y7 0.004 
Ontology array z12,x5.y1 -0.007 
Ontology array z12,x5.y2 0.097 
Ontology array z12,x5.y3 0.088 
Ontology array z12,x5.y4 -0.171 
Ontology array z12,x5.y5 -0.201 
Ontology array z12,x5.y6 0.071 
Ontology array z12,x5.y7 -0.06 
Ontology array z12,x4.y1 0.002 
Ontology array z12,x4.y2 0.092 
Ontology array z12,x4.y3 -0.094 
Ontology array z12,x4.y4 -0.214 (O311)
Ontology array z12,x4.y5 0.068 
Ontology array z12,x4.y6 0.077 
Ontology array z12,x4.y7 0.053 
Ontology array z12,x3.y1 -0.067 
Ontology array z12,x3.y2 0.15 
Ontology array z12,x3.y3 0.39 
Ontology array z12,x3.y4 0.233 
Ontology array z12,x3.y5 0.078 
Ontology array z12,x3.y6 -0.132 
Ontology array z12,x3.y7 -0.278 
Ontology array z12,x2.y1 -0.214 
Ontology array z12,x2.y2 -0.031 
Ontology array z12,x2.y3 -0.203 
Ontology array z12,x2.y4 0.068 
Ontology array z12,x2.y5 0.105 
Ontology array z12,x2.y6 0.059 
Ontology array z12,x2.y7 -0.106 
Ontology array z12,x1.y1 -0.168 
Ontology array z12,x1.y2 -0.009 
Ontology array z12,x1.y3 -0.041 
Ontology array z12,x1.y4 0.043 
Ontology array z12,x1.y5 0.083 
Ontology array z12,x1.y6 -0.094 
Ontology array z12,x1.y7 -0.142 
